date,customer_id,product,quantity,unit_price,total_amount
2025-01-05,CUST-001,Widget Pro,3,50.00,150.00
2025-01-05,CUST-002,Gadget Basic,5,20.00,100.00
2025-01-08,CUST-001,Service Plan,1,200.00,200.00
2025-01-12,CUST-003,Widget Pro,2,50.00,100.00
2025-01-15,CUST-002,Gadget Basic,3,20.00,60.00
2025-01-20,CUST-004,Widget Pro,1,50.00,50.00
2025-01-25,CUST-005,Gadget Basic,2,20.00,40.00
2025-02-01,CUST-001,Widget Pro,2,50.00,100.00
2025-02-05,CUST-003,Service Plan,1,200.00,200.00
2025-02-10,CUST-002,Gadget Basic,1,20.00,20.00
2025-02-15,CUST-004,Widget Pro,1,50.00,50.00
2025-02-18,CUST-005,Widget Pro,1,50.00,50.00
2025-02-20,CUST-001,Gadget Basic,4,20.00,80.00
2025-02-25,CUST-003,Widget Pro,3,50.00,150.00
2025-03-01,CUST-003,Widget Pro,1,50.00,50.00
2025-03-05,CUST-001,Widget Pro,1,50.00,50.00
2025-03-10,CUST-001,Service Plan,1,200.00,200.00
2025-03-15,CUST-005,Gadget Basic,10,20.00,200.00
2025-03-18,CUST-002,Widget Pro,1,50.00,50.00
2025-03-20,CUST-003,Gadget Basic,2,20.00,40.00
