date,customer_id,product,quantity,unit_price,total_amount
2025-01-03,CUST-001,Widget Pro,3,50.00,150.00
2025-01-07,CUST-002,Gadget Plus,1,120.00,120.00
2025-01-10,CUST-003,Widget Pro,5,50.00,250.00
2025-01-14,CUST-001,Gadget Plus,2,120.00,240.00
2025-01-18,CUST-004,SuperGizmo,1,299.00,299.00
2025-01-22,CUST-002,Widget Pro,4,50.00,200.00
2025-01-28,CUST-005,Nano Kit,10,15.00,150.00
2025-02-02,CUST-001,Widget Pro,2,50.00,100.00
2025-02-05,CUST-003,SuperGizmo,1,280.00,280.00
2025-02-09,CUST-006,Gadget Plus,3,115.00,345.00
2025-02-12,CUST-002,Nano Kit,6,15.00,90.00
2025-02-17,CUST-004,Widget Pro,8,48.00,384.00
2025-02-21,CUST-001,SuperGizmo,1,299.00,299.00
2025-02-25,CUST-007,Nano Kit,20,14.00,280.00
2025-02-27,CUST-005,Gadget Plus,1,120.00,120.00
2025-03-03,CUST-003,Widget Pro,6,50.00,300.00
2025-03-08,CUST-006,SuperGizmo,2,299.00,598.00
2025-03-12,CUST-001,Nano Kit,5,15.00,75.00
2025-03-17,CUST-008,Widget Pro,3,50.00,150.00
2025-03-20,CUST-002,Gadget Plus,2,120.00,240.00
2025-03-24,CUST-004,Nano Kit,15,15.00,225.00
2025-03-28,CUST-007,Widget Pro,4,50.00,200.00
